"filename", "language", "JSON", "Markdown", "YAML", "HLSL", "Go", "Rust", "C++", "comment", "blank", "total"
"c:\MyProjects\Astrix\.claude\settings.local.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\MyProjects\Astrix\antilag-bitrate-assessment.md", "Markdown", 0, 110, 0, 0, 0, 0, 0, 0, 66, 176
"c:\MyProjects\Astrix\antilag-wgc-encoder-flow.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 49, 138
"c:\MyProjects\Astrix\antilag.md", "Markdown", 0, 136, 0, 0, 0, 0, 0, 0, 61, 197
"c:\MyProjects\Astrix\client\astrix_settings.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MyProjects\Astrix\client\nv12_to_rgba.hlsl", "HLSL", 0, 0, 0, 69, 0, 0, 0, 11, 12, 92
"c:\MyProjects\Astrix\client\src\app.rs", "Rust", 0, 0, 0, 0, 0, 48, 0, 23, 4, 75
"c:\MyProjects\Astrix\client\src\d3d11_gl_interop.rs", "Rust", 0, 0, 0, 0, 0, 206, 0, 89, 36, 331
"c:\MyProjects\Astrix\client\src\d3d11_nv12.rs", "Rust", 0, 0, 0, 0, 0, 8, 0, 4, 0, 12
"c:\MyProjects\Astrix\client\src\d3d11_rgba.rs", "Rust", 0, 0, 0, 0, 0, 590, 0, 73, 41, 704
"c:\MyProjects\Astrix\client\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\MyProjects\Astrix\client\src\mft_device.rs", "Rust", 0, 0, 0, 0, 0, 5, 0, 9, 1, 15
"c:\MyProjects\Astrix\client\src\mft_encoder.rs", "Rust", 0, 0, 0, 0, 0, 10, 0, 10, 3, 23
"c:\MyProjects\Astrix\client\src\ui.rs", "Rust", 0, 0, 0, 0, 0, 205, 0, 48, 12, 265
"c:\MyProjects\Astrix\client\src\voice.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\MyProjects\Astrix\client\src\voice_livekit.rs", "Rust", 0, 0, 0, 0, 0, 178, 0, 47, 10, 235
"c:\MyProjects\Astrix\client\vendor\rust-sdks\libwebrtc\src\native\video_frame.rs", "Rust", 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"c:\MyProjects\Astrix\client\vendor\rust-sdks\libwebrtc\src\native\video_source.rs", "Rust", 0, 0, 0, 0, 0, 7, 0, 4, 0, 11
"c:\MyProjects\Astrix\client\vendor\rust-sdks\libwebrtc\src\video_frame.rs", "Rust", 0, 0, 0, 0, 0, 6, 0, 1, 1, 8
"c:\MyProjects\Astrix\client\vendor\rust-sdks\libwebrtc\src\video_source.rs", "Rust", 0, 0, 0, 0, 0, 6, 0, 1, 0, 7
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\build.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\include\livekit\video_frame_buffer.h", "C++", 0, 0, 0, 0, 0, 0, 6, 4, 3, 13
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\include\livekit\video_track.h", "C++", 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\mft\d3d11_texture_video_frame_buffer.cpp", "C++", 0, 0, 0, 0, 0, 0, 133, 27, 26, 186
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\mft\d3d11_texture_video_frame_buffer.h", "C++", 0, 0, 0, 0, 0, 0, 41, 34, 14, 89
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\mft\mft_decoder_factory.cpp", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\mft\mft_h264_decoder_impl.cpp", "C++", 0, 0, 0, 0, 0, 0, 80, 29, 5, 114
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\video_decoder_factory.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\video_frame_buffer.cpp", "C++", 0, 0, 0, 0, 0, 0, 47, 0, 11, 58
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\video_frame_buffer.rs", "Rust", 0, 0, 0, 0, 0, 22, 0, 8, 5, 35
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\video_track.cpp", "C++", 0, 0, 0, 0, 0, 0, 6, 4, 1, 11
"c:\MyProjects\Astrix\client\vendor\rust-sdks\webrtc-sys\src\video_track.rs", "Rust", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\MyProjects\Astrix\livekit.yaml", "YAML", 0, 0, 4, 0, 0, 0, 0, 2, 0, 6
"c:\MyProjects\Astrix\new_path_deco.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 56, 172
"c:\MyProjects\Astrix\server\internal\users\handlers.go", "Go", 0, 0, 0, 0, 53, 0, 0, 3, 2, 58
"Total", "-", 17, 451, 4, 69, 53, 1300, 329, 439, 421, 3083